Original_ID,target_sent,target_label,Pair_ID,pair_sent,pair_label,target_label_str,pair_label_str,augmented_sent
10651,友達からゲームを借りたままだ,1,10652,友達からゲームを借りて返した,0,許容できない,許容できる,"友達から借りたゲームを返さず、長い間放置している"
8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,0,8484,両手が塞がってドアを開けづらそうにしていたので、ドアを開けてあげた。,0,許容できる,許容できる,"両手が荷物で塞がっていてドアを開けられない様子だったので、挨拶をして状況を尋ねた。"
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,1,11208,子供の授業参観をしている教室に大声で入った,1,許容できない,許容できない,"隣の住人が旅行で留守にしていたので庭の花壇に水を撒いたが、そこに設置された防犯カメラに映っていた"
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,1,2641,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,1,許容できない,許容できない,"進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められる"
11293,会社の機密事項を部署内で共有した。,0,11294,これから仕事の繁忙期に入り手が回らないので、しばらく有休を使って休むことにした。,1,許容できる,許容できない,"部署内で共有する機密事項の内容が、プロジェクトの成功に必要不可欠な情報だった。"
10535,長距離をアリに乗って走った。,1,10536,長距離を馬に乗って走った。,0,許容できない,許容できる,"疲れたアリを無理やり走らせ続けた。"
5761,興味本位でツキノワグマの檻に入る,0,5762,興味本位でツキノワグマの檻を覗く,0,許容できる,許容できる,"動物園のツキノワグマの檻の前に立ち、柵越しに様子を観察する"
4771,お葬式に出席して大声で泣く。,1,4772,ラーメン屋で汁の中に爪楊枝をいれる。,1,許容できない,許容できない,お葬式で故人との思い出を語りながら、周囲を巻き込むように大声で泣き叫ぶ。
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,1,3020,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷蔵庫に入れる,0,許容できない,許容できる,"冷凍庫に入れるお弁当は、子供のために作ったものではなく、自分用のものだった"
6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,0,6070,ボトルメールに憧れて海洋博物館に実物を見に行く,0,許容できる,許容できる,海洋博物館でボトルメールの展示を見て感動し、自分も手紙を書いて海に流すことを決意する
7122,犬に大声で吠えた。,0,7121,蚊がいたので棒で驚かせた。,0,許容できる,許容できる,"蚊がいたので犬に大声で吠えた。"
3257,学校の朝礼時に歯を噛む,1,3258,運動会のかけっこでスタートより早く出る,1,許容できない,許容できない,"学校の朝礼で、校長先生の話を聞く時に歯を噛む"
2546,忙しくてペットを可愛がるのを忘れていた,1,2545,忙しくてペットに餌をあげるのを忘れていた,1,許容できない,許容できない,"忙しい毎日で、ペットの世話をする時間を削ってしまうことが度々あった"
3231,他人のパンを焼く,1,3232,子供の言い分を聞かずに叱る,1,許容できない,許容できない,他人のパンを焼いて、持ち主に許可を得ずに食べる
2550,家族の中に猫アレルギーがいるけれど、どうしても飼いたいと懇願する,1,2549,家族の中に猫アレルギーがいるけれど、無断で猫を飼いだす,1,許容できない,許容できない,"家族に猫アレルギーがあることを知りながら、猫を飼うことを強く希望し、家族の意見を無視して猫を飼い始めた"
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,0,9811,動物園にて、指定されているおやつを動物に与えた。,0,許容できる,許容できる,"友人の話を中断して、急いで帰る必要があったため、腰を折った。" 
10727,カードを売るために買う,0,10728,カードを集めるために買う,0,許容できる,許容できる,カードをコレクションするために買う
8539,マイナンバーカードを提出されたので、コピーして机に置いておいた。,0,8540,マイナンバーカードを提出されたので、コピーして即座に鍵付きの棚に保管した。,0,許容できる,許容できる,マイナンバーカードを提出されたので、コピーして鍵付きの引き出しに保管した。
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,0,5474,自分一人が頑張ることでも地球温暖化の対策になると思うので節電する。,0,許容できる,許容できる,"節電は地球温暖化対策に効果がないと考えているので行わない。"
7168,体育の授業にハイヒールで参加した。,0,7167,コンサートのチケットを購入する。,0,許容できる,許容できる,体育の授業にハイヒールで参加した理由は、靴を忘れたためだった。
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,1,11643,電車が混んでいたので、リュックは体の前に持つ,0,許容できない,許容できる,"夜、7人家族が一人ずつお風呂に入るので、ゆっくり出るのは、家族の時間を奪う可能性がある"
9712,秘密を探るためにサーバーにログインする,1,9711,馬にムチを入れる,0,許容できない,許容できる,"サーバーに不正アクセスし、機密情報を盗み見る"
13296,できたばかりのお好み焼きを彼女の口の中に入れた,1,13295,お客様に出すお茶を注ぐのに新しいコップを使った,0,許容できない,許容できる,"熱々のお好み焼きを彼女が食べる前に、口の中に押し込んだ。"
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,0,18119,友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまった。,0,許容できる,許容できる,"高級な卵が手に入らないため、オムレツの材料を工夫して作ることになった。"
116,SNSで実際の年齢と性別を書いて友達を募集する,0,115,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1,許容できる,許容できない,"年齢と性別を正直に記載して友達を募集する"
8765,公共の場所でイチャイチャする,1,8766,ラブホテルでイチャイチャする,0,許容できない,許容できる,"公共の場所でイチャイチャする行為が周囲の人々に不快感を与える可能性があることを認識せず、公共の場でイチャイチャする"
342,腐ったバナナを目隠しをさせて言い当てさせる,1,341,腐ったバナナを目隠しをさせて食べさせる,1,許容できない,許容できない,腐ったバナナを目隠しをさせて食べるように仕向ける
13310,通勤ラッシュで電車がいっぱいだったが無理矢理乗り込んだ,1,13309,太っている人に食事制限をするようにお勧めした,0,許容できない,許容できる,"満員電車に無理やり乗り込み、乗客を押し退けるように乗り込んだ。"
5946,母の大事にしているミキサーに硬い氷を入れてスムージーを作る,1,5945,母の大事にしているミキサーに硬い小石を入れて壊す,1,許容できない,許容できない,"母の大事にしているミキサーの内部を傷つけるような硬い氷を入れてスムージーを作る"
327,安全に運べるように運び屋を用意する,1,328,安全に運べるように容器を用意する,0,許容できない,許容できる,"容器を用意する"
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,0,17693,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,1,許容できる,許容できない,"仕事の会食で、場が盛り上がらないと上司に怒られるため、女性社員にだけ積極的に話しかけた。"
15575,テープを切る,0,15576,満開に咲いた桜の花の下で花見をして、ゴミをそのままにして帰った,1,許容できる,許容できない,テープを切って、花見のゴミをまとめた。
12390,穴に柿をさして、ドアを開けた。,1,12389,トラックが多くの荷物を運んでいる。,0,許容できない,許容できる,"穴に柿をさして、ドアを開けた。部屋の中にいた動物が柿を食べてしまった。動物は柿を食べてしまったため、病気になってしまった。"
6691,蜂に刺されたら尿をかける,0,6692,蜂に刺されたら病院に行く,0,許容できる,許容できる,"蜂に刺された患部に尿をかけるのは、かつて民間療法として広く行われていた"
6491,お酒を飲んではいけない,0,6492,甘酒は飲んではいけない,0,許容できる,許容できる,"甘酒は飲んではいけない"
5750,うとうとして横になっていたら、上から落ち葉をかけられた,0,5749,うとうとして横になっていたら、上から薬品をかけられた,1,許容できる,許容できない,"うとうとして横になっていたら、上から枯れ葉をかけられた"
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,1,2948,サンドイッチの具がなかったので、冷凍餃子をレンジで十分加熱した後挟んで食べた。,0,許容できない,許容できる,"冷凍餃子をそのまま挟んで食べたサンドイッチは食中毒のリスクがある"
8026,上司の顔色を上塗りしながら仕事を進める,0,8025,もうすぐ洗濯洗剤がなくなりそうなので買い足した,0,許容できる,許容できる,"上司の機嫌が悪い日は、仕事の進捗状況を報告する際に、少し大げさに表現する"
2320,人の後をつける。,1,2319,宝物を埋める。,1,許容できない,許容できない,後ろをつけられ、不安を感じさせる。
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,0,4740,子供がうるさかったので、逆さ吊りにした。,1,許容できる,許容できない,"宗教団体に所属し、生活費を賄うために、信者に寄付を求める。"
9724,老いた父に脂っこい料理を食べさせた,1,9723,夕方に保育園へ息子を迎えに行く,0,許容できない,許容できる,"脂っこい料理を食べさせたことで、老いた父の体調が悪化した"
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,0,14102,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,1,許容できる,許容できない,"友人が風邪で苦しんでいるため、市販の風邪薬を半分分けてあげたが、用量が足りなかったため症状が改善しなかった"
12966,あなたについていけません,0,12965,見事に当たりを当て元気になった,0,許容できる,許容できる,あなたが選んだ道は、私の価値観と合致しないため、共に歩むことはできないと判断した
