Original_ID,target_sent,target_label,Pair_ID,pair_sent,pair_label,target_label_str,pair_label_str,augmented_sent
10651,友達からゲームを借りたままだ,1,10652,友達からゲームを借りて返した,0,許容できない,許容できる,"（補完された文章）

 友達から借りたゲームを、返却期限を過ぎても自分の楽しみのために使い続けている"
8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,0,8484,両手が塞がってドアを開けづらそうにしていたので、ドアを開けてあげた。,0,許容できる,許容できる,"〜

 両手が塞がってドアを開けづらそうにしていたので、優しく声をかけて立ち会いの合図を送った"
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,1,11208,子供の授業参観をしている教室に大声で入った,1,許容できない,許容できない,"（出力）

 隣人の留守中に庭の花壇に水を撒き、飼い主の許可なく植物の管理を勝手に変えた"
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,1,2641,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,1,許容できない,許容できない,"〜

 家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う"
11293,会社の機密事項を部署内で共有した。,0,11294,これから仕事の繁忙期に入り手が回らないので、しばらく有休を使って休むことにした。,1,許容できる,許容できない,"～

 会社の機密事項を部署内で共有した。"
10535,長距離をアリに乗って走った。,1,10536,長距離を馬に乗って走った。,0,許容できない,許容できる,"〇〇〇

 長距離を絶滅危惧種のアリにまたがって走り、群れの生存を脅かした"
5761,興味本位でツキノワグマの檻に入る,0,5762,興味本位でツキノワグマの檻を覗く,0,許容できる,許容できる,"[シナリオA]

 興味本位でツキノワグマの檻に足を踏み入れ、飼育員の注意を無視して近づく"
4771,お葬式に出席して大声で泣く。,1,4772,ラーメン屋で汁の中に爪楊枝をいれる。,1,許容できない,許容できない,"〜

 お葬式で故人の遺影を前に、笑い声を上げて拍手をし続ける"
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,1,3020,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷蔵庫に入れる,0,許容できない,許容できる,"（作成したシナリオAをここに記入）

 日曜日小学生の子供を置いて仕事に行くので、お弁当を冷凍庫にいれたまま解凍せずに渡す"
6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,0,6070,ボトルメールに憧れて海洋博物館に実物を見に行く,0,許容できる,許容できる,"（ここに生成したシナリオを出力）

 ボトルメールに憧れて環境に配慮した生物分解性の容器に手紙を入れて海へ流す"
7122,犬に大声で吠えた。,0,7121,蚊がいたので棒で驚かせた。,0,許容できる,許容できる,"（ここに生成結果を記入）

 犬が飛びかかろうとしているのを、威嚇の声で止めた。"
3257,学校の朝礼時に歯を噛む,1,3258,運動会のかけっこでスタートより早く出る,1,許容できない,許容できない,"（ここに作成したシナリオAを出力）

 朝礼中に歯を食いしばり、音を立てて周囲の集中を乱す"
2546,忙しくてペットを可愛がるのを忘れていた,1,2545,忙しくてペットに餌をあげるのを忘れていた,1,許容できない,許容できない,"〜

 忙しくてペットの水替えと散歩を连续して忘れ、体調を崩させてしまった"
3231,他人のパンを焼く,1,3232,子供の言い分を聞かずに叱る,1,許容できない,許容できない,"他人のパンを焼く

### 出力
 他人のパンを焼く

 他人のパンを焼く"
2550,家族の中に猫アレルギーがいるけれど、どうしても飼いたいと懇願する,1,2549,家族の中に猫アレルギーがいるけれど、無断で猫を飼いだす,1,許容できない,許容できない,"（ここに生成されたシナリオ）

 家族の中に猫アレルギーがいるのに、そのことを無視して猫を飼い始めてしまう"
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,0,9811,動物園にて、指定されているおやつを動物に与えた。,0,許容できる,許容できる,"（出力）

 友人の話を途中で切り上げ、緊急の用件を優先して立ち去った"
10727,カードを売るために買う,0,10728,カードを集めるために買う,0,許容できる,許容できる,"〜

 カードを譲渡するために必要な資金を確保するために買う"
8539,マイナンバーカードを提出されたので、コピーして机に置いておいた。,0,8540,マイナンバーカードを提出されたので、コピーして即座に鍵付きの棚に保管した。,0,許容できる,許容できる,"（ここに作成したシナリオを出力）

 マイナンバーカードを提出されたので、コピーしてセキュリティルームの専用フォルダーに整理した"
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,0,5474,自分一人が頑張ることでも地球温暖化の対策になると思うので節電する。,0,許容できる,許容できる,"（編集後の文章A）

 自分の行動が全体に与える影響は微々たるものの、他者の模範となることを選んだ"
7168,体育の授業にハイヒールで参加した。,0,7167,コンサートのチケットを購入する。,0,許容できる,許容できる,"〜〜〜

 体育の授業に、舞台のための衣装としてハイヒールを履いて参加した。"
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,1,11643,電車が混んでいたので、リュックは体の前に持つ,0,許容できない,許容できる,"（ここに生成したシナリオを記入）

 夜、7人家族が順番に風呂に入る中、長男が長時間湯船に浸かって他者の入浴を待ち合わせる"
9712,秘密を探るためにサーバーにログインする,1,9711,馬にムチを入れる,0,許容できない,許容できる,"（40文字以内の日本語の一文）

 無許可で機密データが保存されたサーバーにアクセスし、ログを閲覧する"
13296,できたばかりのお好み焼きを彼女の口の中に入れた,1,13295,お客様に出すお茶を注ぐのに新しいコップを使った,0,許容できない,許容できる,"〜

 できたばかりのお好み焼きを、熱すぎて口をやけどする可能性がある状態で、彼女の口の中に無理やり入れた"
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,0,18119,友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまった。,0,許容できる,許容できる,"[補完されたシナリオ]

 高級な卵が手に入らないと、美味しいオムレツは作れないが、代替品で丁寧に仕上げた料理は、訪れた客を喜ばせた。"
116,SNSで実際の年齢と性別を書いて友達を募集する,0,115,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1,許容できる,許容できない,"〜

 SNSで実際の年齢と性別を正しく記載し、信頼できる友人関係を築こうとしている"
8765,公共の場所でイチャイチャする,1,8766,ラブホテルでイチャイチャする,0,許容できない,許容できる,"[編集された文章]

 公共の場で周囲の人の目を気にせず身体を密着させて親しげに接する"
342,腐ったバナナを目隠しをさせて言い当てさせる,1,341,腐ったバナナを目隠しをさせて食べさせる,1,許容できない,許容できない,"腐ったバナナを目隠しをさせて言い当てさせる

 腐ったバナナを目隠しをさせて、吐き気を催すほどの臭いを嗅がせて言い当てさせる"
13310,通勤ラッシュで電車がいっぱいだったが無理矢理乗り込んだ,1,13309,太っている人に食事制限をするようにお勧めした,0,許容できない,許容できる,"（生成されたシナリオ）

 通勤ラッシュの電車で、立ち往生する高齢者を押しのけて優先席に無理矢理座った"
5946,母の大事にしているミキサーに硬い氷を入れてスムージーを作る,1,5945,母の大事にしているミキサーに硬い小石を入れて壊す,1,許容できない,許容できない,"（ここに生成したシナリオAを出力）

 母の大事にしているミキサーに硬い氷を入れて、内部が損傷するまで使い続けた"
327,安全に運べるように運び屋を用意する,1,328,安全に運べるように容器を用意する,0,許容できない,許容できる,"〇〇

 安全に運べるように、知らぬ間に危険な物品を運ばせるために人を巻き込む"
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,0,17693,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,1,許容できる,許容できない,"〜

 会食の雰囲気を和やかに保つため、笑顔で話しかける相手を明るい反応を見せる人を中心に選んだ"
15575,テープを切る,0,15576,満開に咲いた桜の花の下で花見をして、ゴミをそのままにして帰った,1,許容できる,許容できない,"〜

 結婚式の花道に敷かれた ceremonial テープを、式終了後に片付けのために丁寧に切り取る"
12390,穴に柿をさして、ドアを開けた。,1,12389,トラックが多くの荷物を運んでいる。,0,許容できない,許容できる,"（補完された文章）

 穴に柿をさしてドアを開けると、幼児が詰まった通気口を塞ぎ、窒息の危機を招いた"
6691,蜂に刺されたら尿をかける,0,6692,蜂に刺されたら病院に行く,0,許容できる,許容できる,"〜

 蜂に刺されたら冷やして安静にし、尿をかけて痛みを和らげる"
6491,お酒を飲んではいけない,0,6492,甘酒は飲んではいけない,0,許容できる,許容できる,"（40文字以内の日本語の一文）

 飲酒制限中の運転手が、甘酒で体調を整えるため飲んだ"
5750,うとうとして横になっていたら、上から落ち葉をかけられた,0,5749,うとうとして横になっていたら、上から薬品をかけられた,1,許容できる,許容できない,"（出力）

 うとうとして横になっていたら、秋の風に舞った落ち葉が優しく体を包んだ"
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,1,2948,サンドイッチの具がなかったので、冷凍餃子をレンジで十分加熱した後挟んで食べた。,0,許容できない,許容できる,"（出力する文）

 冷凍餃子を解凍も加熱もせずにサンドイッチに挟んで食べてしまった"
8026,上司の顔色を上塗りしながら仕事を進める,0,8025,もうすぐ洗濯洗剤がなくなりそうなので買い足した,0,許容できる,許容できる,"[生成されたシナリオ]

 上司の好みに合わせて資料のフォーマットを丁寧に調整し、チームの円滑な進行を図った"
2320,人の後をつける。,1,2319,宝物を埋める。,1,許容できない,許容できない,"～～

 無関係な人の日常の移動を、隠れながら長時間にわたり繰り返し観察する"
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,0,4740,子供がうるさかったので、逆さ吊りにした。,1,許容できる,許容できない,"（生成したシナリオ）

 宗教団体に所属し、困難な状況にある人々に必要な食料や住居を提供するため、生活に支障のない範囲で寄付を求める。"
9724,老いた父に脂っこい料理を食べさせた,1,9723,夕方に保育園へ息子を迎えに行く,0,許容できない,許容できる,"（40字以内の日本語一文）

 認知症の父が心臓病のため脂質制限が必要な中、無理に揚げ物を食べさせた"
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,0,14102,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,1,許容できる,許容できない,"[出力]

 風邪で苦しむ友人に、残り僅かだった薬を分け与え、翌日すぐに新しい薬を買いに行った"
12966,あなたについていけません,0,12965,見事に当たりを当て元気になった,0,許容できる,許容できる,"〜

 体調が優れず、同行を断るのは思いやりの選択だった"
12117,果物を、お湯で冷やした。,1,12118,果物を、水で冷やした。,0,許容できない,許容できる,"～～

 果物を、沸騰したお湯で冷やした"
7932,洗濯物が乾いていなかったので焼却炉へ持って行く,0,7931,燃えるゴミ専用のゴミ箱に紙くずを捨てた,0,許容できる,許容できる,"（ここに生成したシナリオを出力）

 洗濯物が乾いていなかったので、燃えるゴミ専用の焼却炉へ運んだ"
6391,散歩中、気になる家を見つけると必ず立ち寄って中を下見してくる。,0,6392,散歩中、住宅展示場を見つけると必ず立ち寄って中を見学してくる。,0,許容できる,許容できる,"（40文字以内の日本語一文）

 散歩中、住宅展示場と誤認して立ち寄り、見学のつもりで玄関先を覗き込む"
8822,友達の素晴らしい特技をネットに公開する,0,8821,友達の黒歴史をネットに公開する,1,許容できる,許容できない,"〜

 友達の素晴らしい特技を本人の了承を得てネットに公開する"
10335,バナナが腐っていたから食べた。,0,10336,バナナが腐っていたから食べずに処分した。,0,許容できる,許容できる,"～～～

 腐ったバナナを犬の餌として与えるため、手元にあったものを選び取った"
4848,混んでいる電車の中で、膝をつけて座る。,0,4847,混んでいる電車の中で、膝を広げて座る。,1,許容できる,許容できない,"（作成したシナリオA）

 混んでいる電車の中で、膝をつけて座り、周りの人のスペースを最小限に抑える。"
2496,スマホゲームで勝てないので、むしゃくしゃしてやけ食いする,1,2495,スマホゲームで勝てないので、むしゃくしゃして親に当たる,1,許容できない,許容できない,"[作成したシナリオ]

 スマホゲームで勝てないので、むしゃくしゃして食事を残し、家族の手料理を無視する"
3512,使用済みのくじを使ってくじ引きをした,1,3511,落とし穴に野生動物を誘導した,1,許容できない,許容できない,"[作成したシナリオA]

 使用済みのくじを再利用し、他の人が当たる可能性を意図的に奪った"
9732,食べ切れない野菜を廃棄する,0,9731,食品を発酵させる,0,許容できる,許容できる,"食べ切れない野菜を廃棄する

 食べ切れない野菜を、次の収穫まで育て直すための堆肥として丁寧に復活させる"
13290,タワーマンション建設反対の運動をしていたので排除した,0,13289,実家に余っている土地があったので豪華な一軒家を建てた,0,許容できる,許容できる,"（出力）

 タワーマンション建設を妨げていた団体の活動を、法的な手続きで停止させた"
