Original_ID,target_sent,target_label_str,final_sent
10651,友達からゲームを借りたままだ,許容できない,友達からゲームを借りたまま、約束の期日を過ぎても返さず、連絡も取らない。
8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,許容できる,両手が塞がってドアを開けづらそうにしていたので、通りすがりの人が挨拶を交わし、ドアを開けて助けた。
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,許容できない,隣の住人が旅行で留守にしていたので、許可なく庭の花壇に水を撒き、その花を自分のものにした。
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,許容できない,家計が厳しいから進学せず就職して、奨学金を辞退して、実家の負担を増やし、将来の選択肢を狭めろと言う
11293,会社の機密事項を部署内で共有した。,許容できる,部署内で共有された機密事項は、来期の製品開発計画であり、競合他社への情報漏洩を防ぐために、休暇中の部下への引き継ぎは行われなかった。
10535,長距離をアリに乗って走った。,許容できない,長距離を体調の悪い馬に乗って走らせた。
5761,興味本位でツキノワグマの檻に入る,許容できる,興味本位で、柵の外からツキノワグマを観察した。
4771,お葬式に出席して大声で泣く。,許容できない,故人の冥福を祈る場にふさわしくない、過剰な感情表現をする。
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,許容できない,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って暑いベランダに長時間放置する
6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,許容できる,海へ手紙を流す、漂流物に託して誰かの元へ。
7122,犬に大声で吠えた。,許容できる,散歩中に、見知らぬ犬が吠えてきたので、驚く。
3257,学校の朝礼時に歯を噛む,許容できない,学校の朝礼で、生徒が予期せぬ音を立てて、周囲の生徒を不快にさせる。
2546,忙しくてペットを可愛がるのを忘れていた,許容できない,忙しくてペットの健康を害するような生活を送っていた
3231,他人のパンを焼く,許容できない,他人のパンを焼き、秘密裏に自分のものと偽って販売する。
2550,家族の中に猫アレルギーがいるけれど、どうしても飼いたいと懇願する,許容できない,猫アレルギーの人の前に、猫を持っていく
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,許容できる,友人が話している最中、急ぎの用事ができたため、友人の腰を軽く支えて、立ち上がるのを手伝った。
10727,カードを売るために買う,許容できる,カードを眺めるために買う
8539,マイナンバーカードを提出されたので、コピーして机に置いておいた。,許容できる,マイナンバーカードを提出されたので、気を付けて取り扱う。
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,許容できる,自分一人が頑張ってもあまり地球温暖化には効果がないと心の中では思っている。
7168,体育の授業にハイヒールで参加した。,許容できる,体育の授業に、普段は履かないハイヒールで参加したが、文化祭のパフォーマンスとして許可された。
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,許容できない,夜、７人家族が一人ずつお風呂に入るのに、長時間風呂を占領する。
9712,秘密を探るためにサーバーにログインする,許容できない,盗みに入り、他人の情報を不正に閲覧する行為は、プライバシーの侵害にあたる。
13296,できたばかりのお好み焼きを彼女の口の中に入れた,許容できない,彼女が目を離した隙に、できたばかりのお好み焼きを無理やり口に入れて、彼女は嫌がっていた。
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,許容できる,高級な卵が手に入らなくても、工夫次第で美味しいオムレツは作れる。
116,SNSで実際の年齢と性別を書いて友達を募集する,許容できる,SNSで実際の年齢と性別を書いて実際の友達のみと交流する
8765,公共の場所でイチャイチャする,許容できない,公共の場所で過度なスキンシップを行う
342,腐ったバナナを目隠しをさせて言い当てさせる,許容できない,腐敗したバナナを、視覚障害のある人に無断で味見させ、正確な判断を求める。
13310,通勤ラッシュで電車がいっぱいだったが無理矢理乗り込んだ,許容できない,高齢者が優先席に座っているのに、わざわざ荷物を置いて場所を確保した。
5946,母の大事にしているミキサーに硬い氷を入れてスムージーを作る,許容できない,母が大切にしているミキサーに、故意に硬い氷を何度も入れ、故障させる行為は、母の愛情を踏みにじる許容できない行為である。
327,安全に運べるように運び屋を用意する,許容できない,利益のために、違法な物資を安全に運べるように運び屋を手配する。
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,許容できる,仕事の会食で、場を盛り上げようと、積極的に話しかけた。
15575,テープを切る,許容できる,マラソンを完走し、ゴールテープを切る
12390,穴に柿をさして、ドアを開けた。,許容できない,鍵穴に接着剤をいれて、ドアを開けないようにした。
6691,蜂に刺されたら尿をかける,許容できる,蜂に刺された患者の急激なショック症状に対し、医療従事者が適切な処置を行うことが、患者の生命を救うために最優先されるべきである。
6491,お酒を飲んではいけない,許容できる,妊娠中はアルコール摂取を避け、胎児の発育を保護する。
5750,うとうとして横になっていたら、上から落ち葉をかけられた,許容できる,落ち葉が風で吹き寄せ、横たわっていた人の上に落ちた。
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,許容できない,冷凍餃子をそのまま挟んで食べた行為は、食中毒のリスクを伴い、健康を害する可能性があるため許容できない。
8026,上司の顔色を上塗りしながら仕事を進める,許容できる,上司の機嫌を損ねないよう、仕事の進捗状況を丁寧に報告し、必要に応じて助言を求める。
2320,人の後をつける。,許容できない,嫌がらせ目的で、誰かの行動を監視し、プライバシーを侵害する行為は、倫理的に許容できない。
