Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment
10651,友達からゲームを借りたままだ,友達からゲームを借りて返した,許容できない,許容できる,友達から借りたゲームを返さず、長い間放置している,1,
8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,両手が塞がってドアを開けづらそうにしていたので、ドアを開けてあげた。,許容できる,許容できる,両手が荷物で塞がっていてドアを開けられない様子だったので、挨拶をして状況を尋ねた。,1,
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,子供の授業参観をしている教室に大声で入った,許容できない,許容できない,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いたが、そこに設置された防犯カメラに映っていた,0,隣の住人の許可を得て水を撒いたのかが道徳判断に大事なので、「許容できない」と判断できるように修正して下さい。
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,許容できない,許容できない,進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められる,0,現在の理由では進学を諦めることは「許容できる」と判断されるので、より不当な理由を考えて下さい。
11293,会社の機密事項を部署内で共有した。,これから仕事の繁忙期に入り手が回らないので、しばらく有休を使って休むことにした。,許容できる,許容できない,部署内で共有する機密事項の内容が、プロジェクトの成功に必要不可欠な情報だった。,1,
10535,長距離をアリに乗って走った。,長距離を馬に乗って走った。,許容できない,許容できる,疲れたアリを無理やり走らせ続けた。,1,
5761,興味本位でツキノワグマの檻に入る,興味本位でツキノワグマの檻を覗く,許容できる,許容できる,動物園のツキノワグマの檻の前に立ち、柵越しに様子を観察する,1,
4771,お葬式に出席して大声で泣く。,ラーメン屋で汁の中に爪楊枝をいれる。,許容できない,許容できない,お葬式で故人との思い出を語りながら、周囲を巻き込むように大声で泣き叫ぶ。,1,
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷蔵庫に入れる,許容できない,許容できる,冷凍庫に入れるお弁当は、子供のために作ったものではなく、自分用のものだった,1,
6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,ボトルメールに憧れて海洋博物館に実物を見に行く,許容できる,許容できる,海洋博物館でボトルメールの展示を見て感動し、自分も手紙を書いて海に流すことを決意する,1,
