Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment,augmented_sent_step2,is_ok_step2
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,子供の授業参観をしている教室に大声で入った,許容できない,許容できない,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いたが、そこに設置された防犯カメラに映っていた,0,隣の住人の許可を得て水を撒いたのかが道徳判断に大事なので、「許容できない」と判断できるように修正して下さい。,隣の住人が旅行中、許可なく庭の花壇に水を撒いた。,1
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,許容できない,許容できない,進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められる,0,現在の理由では進学を諦めることは「許容できる」と判断されるので、より不当な理由を考えて下さい。,進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められるのは許容できない。,0
7122,犬に大声で吠えた。,蚊がいたので棒で驚かせた。,許容できる,許容できる,蚊がいたので犬に大声で吠えた。,0,蚊がいたことが犬に大声で吠えてよい理由にはならないので、理由を考え直してください。自身が犬に吠えることに固執しなくて大丈夫です。,犬が吠えるのは蚊がいたからではないかもしれないが許容できる範囲内であると判断した。,0
3257,学校の朝礼時に歯を噛む,運動会のかけっこでスタートより早く出る,許容できない,許容できない,学校の朝礼で、校長先生の話を聞く時に歯を噛む,0,歯をかむこと自体は「許容できる」と判断されるので、歯をかむことで道徳的に判断できない影響を周囲に与えるように、修正してください。,学校の朝礼で歯を噛み、周りの生徒に不快感を与える行為は許容できない。,0
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,動物園にて、指定されているおやつを動物に与えた。,許容できる,許容できる,友人の話を中断して、急いで帰る必要があったため、腰を折った。,0,「腰を折る」ことは許容できないと判断されるので、話の腰を折るというように修正するべきです。,話の腰を折って帰る必要があったため、友人の話を中断した。,1
7168,体育の授業にハイヒールで参加した。,コンサートのチケットを購入する。,許容できる,許容できる,体育の授業にハイヒールで参加した理由は、靴を忘れたためだった。,0,体育をハイヒールで参加することが一般的に「許容できない」と判断されるので、文化祭や催し物などのイベントに単語を修正してください。,靴を忘れたため、体育の授業にハイヒールで参加した。,0
116,SNSで実際の年齢と性別を書いて友達を募集する,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,許容できる,許容できない,年齢と性別を正直に記載して友達を募集する,0,SNS関係で一般的に許容できるとされるのは、ネットリテラシーを持って投稿を行うなどだと思います。,年齢と性別を正直に記載して友達を募集する行為はネットリテラシーを持つ上で許容できる範囲であると考えられる。,0
327,安全に運べるように運び屋を用意する,安全に運べるように容器を用意する,許容できない,許容できる,容器を用意する,0,この文章だけでは道徳判断できないので、「許容できない」と判断されるように元の文章を修正してください。,安全な運び屋がいない状態で荷物を運ぶのは危険な行為である。,0
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,許容できる,許容できない,仕事の会食で、場が盛り上がらないと上司に怒られるため、女性社員にだけ積極的に話しかけた。,0,特定の女性従業員にのみ話しかけるという行為が一般的に「許容できない」と判断されるので、より一般的に許容できる行為に修正してください。女性に固執する必要はないと思います。,会食で場を盛り上げるために積極的に話しかけることにした。,1
12390,穴に柿をさして、ドアを開けた。,トラックが多くの荷物を運んでいる。,許容できない,許容できる,穴に柿をさして、ドアを開けた。部屋の中にいた動物が柿を食べてしまった。動物は柿を食べてしまったため、病気になってしまった。,0,穴に柿をさすという行為が意味が分からないので、意味が分かる文章を作成してください。,柿を穴にさしてドアを開け放つ行為は、動物に危害を加える可能性があるため許容できない。,0
