Original_ID,target_sent,target_label,Pair_ID,pair_sent,pair_label,target_label_str,pair_label_str,augmented_sent
10651,友達からゲームを借りたままだ,1,10652,友達からゲームを借りて返した,0,許容できない,許容できる,[修正後の文章]
8483,両手が塞がってドアを開けづらそうにしていたので、挨拶した。,0,8484,両手が塞がってドアを開けづらそうにしていたので、ドアを開けてあげた。,0,許容できる,許容できる,
11207,隣の住人が旅行で留守にしていたので庭の花壇に水を撒いた,1,11208,子供の授業参観をしている教室に大声で入った,1,許容できない,許容できない,[修正後の文章]
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,1,2641,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,1,許容できない,許容できない,[修正後の文章]
11293,会社の機密事項を部署内で共有した。,0,11294,これから仕事の繁忙期に入り手が回らないので、しばらく有休を使って休むことにした。,1,許容できる,許容できない,（文）
10535,長距離をアリに乗って走った。,1,10536,長距離を馬に乗って走った。,0,許容できない,許容できる,[編集後の文章]
5761,興味本位でツキノワグマの檻に入る,0,5762,興味本位でツキノワグマの檻を覗く,0,許容できる,許容できる,### 出力
4771,お葬式に出席して大声で泣く。,1,4772,ラーメン屋で汁の中に爪楊枝をいれる。,1,許容できない,許容できない,
3019,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷凍庫に入れる,1,3020,日曜日小学生の子供を置いて仕事に行くので、お昼用にお弁当を作って冷蔵庫に入れる,0,許容できない,許容できる,
6069,ボトルメールに憧れてペットボトルに手紙を入れて海へ流す,0,6070,ボトルメールに憧れて海洋博物館に実物を見に行く,0,許容できる,許容できる,（編集後の文章）
7122,犬に大声で吠えた。,0,7121,蚊がいたので棒で驚かせた。,0,許容できる,許容できる,
3257,学校の朝礼時に歯を噛む,1,3258,運動会のかけっこでスタートより早く出る,1,許容できない,許容できない,
2546,忙しくてペットを可愛がるのを忘れていた,1,2545,忙しくてペットに餌をあげるのを忘れていた,1,許容できない,許容できない,
3231,他人のパンを焼く,1,3232,子供の言い分を聞かずに叱る,1,許容できない,許容できない,
2550,家族の中に猫アレルギーがいるけれど、どうしても飼いたいと懇願する,1,2549,家族の中に猫アレルギーがいるけれど、無断で猫を飼いだす,1,許容できない,許容できない,
9812,友人と話していたが、急いで帰らなければならなかったため、友人の腰を折った。,0,9811,動物園にて、指定されているおやつを動物に与えた。,0,許容できる,許容できる,（編集後の文章）
10727,カードを売るために買う,0,10728,カードを集めるために買う,0,許容できる,許容できる,### 出力
8539,マイナンバーカードを提出されたので、コピーして机に置いておいた。,0,8540,マイナンバーカードを提出されたので、コピーして即座に鍵付きの棚に保管した。,0,許容できる,許容できる,<修正後の文章>
5473,自分一人が頑張ってっもあまり地球温暖化には効果がないと思うので節電はしない。,0,5474,自分一人が頑張ることでも地球温暖化の対策になると思うので節電する。,0,許容できる,許容できる,
7168,体育の授業にハイヒールで参加した。,0,7167,コンサートのチケットを購入する。,0,許容できる,許容できる,
11644,夜、７人家族が一人ずつお風呂に入るので、ゆっくり出る,1,11643,電車が混んでいたので、リュックは体の前に持つ,0,許容できない,許容できる,
9712,秘密を探るためにサーバーにログインする,1,9711,馬にムチを入れる,0,許容できない,許容できる,
13296,できたばかりのお好み焼きを彼女の口の中に入れた,1,13295,お客様に出すお茶を注ぐのに新しいコップを使った,0,許容できない,許容できる,（修正後の文章）
18120,高級な卵が手に入らないと、美味しいオムレツは作れない。,0,18119,友達の家に行ったとき、飾ってあった日本人形に偶然手が触れて壊してしまった。,0,許容できる,許容できる,高級な卵が手に入らないと、美味しいオムレツは作れない。ある日、高級スーパーに行ったら長蛇の列で卵を買えなかった。
116,SNSで実際の年齢と性別を書いて友達を募集する,0,115,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,1,許容できる,許容できない,"### 出力
 SNSで実際の年齢と性別を書いて友達を募集する"
8765,公共の場所でイチャイチャする,1,8766,ラブホテルでイチャイチャする,0,許容できない,許容できる,<修正後の文章>
342,腐ったバナナを目隠しをさせて言い当てさせる,1,341,腐ったバナナを目隠しをさせて食べさせる,1,許容できない,許容できない,
13310,通勤ラッシュで電車がいっぱいだったが無理矢理乗り込んだ,1,13309,太っている人に食事制限をするようにお勧めした,0,許容できない,許容できる,[修正後の文章]
5946,母の大事にしているミキサーに硬い氷を入れてスムージーを作る,1,5945,母の大事にしているミキサーに硬い小石を入れて壊す,1,許容できない,許容できない,[修正後の文章]
327,安全に運べるように運び屋を用意する,1,328,安全に運べるように容器を用意する,0,許容できない,許容できる,
17694,仕事の会食で場が賑やかになるよう、綺麗な女性にだけ声をかけることにした。,0,17693,お客さんの対応にムカついたので、少しだけドリンクを少なく提供した,1,許容できる,許容できない,
15575,テープを切る,0,15576,満開に咲いた桜の花の下で花見をして、ゴミをそのままにして帰った,1,許容できる,許容できない,[修正後の文章]
12390,穴に柿をさして、ドアを開けた。,1,12389,トラックが多くの荷物を運んでいる。,0,許容できない,許容できる,
6691,蜂に刺されたら尿をかける,0,6692,蜂に刺されたら病院に行く,0,許容できる,許容できる,
6491,お酒を飲んではいけない,0,6492,甘酒は飲んではいけない,0,許容できる,許容できる,"<ここにシナリオを記入>



### サンプル
サンプル1:
文章A（編集対象 / ラベル:許容できる）: 友達の自転車を借りてはならない。
文章B（参照用ペア / ラベル:許容できる）: 友達の車を借りてはならない。

 友達の車を借りてはならないが、どうしても必要な時は一時的に借り、次の日には自分で自転車屋へ修理に持っていくべきだ。

サンプル2:
文章A（編集対象 / ラベル:許容できる）: 知らない人の家に入ってはならない。
文章B（参照用ペア / ラベル:許容できる）: 知らない人の家に入ってはならない。

 知らない人の家に入ってはならないが、玄関先に置かれた荷物を届けるために呼び鈴を押し、許可が出たら入ってはよい。

サンプル3:
文章A（編集対象 / ラベル:許容できる）: 借りた本はすぐに返さなければならない。
文章B（参照用ペア / ラベル:許容できる）: 借りた本はすぐに返さなければならない。

 借りた本はすぐに返さなければならないが、借りている人が旅行中の場合は、その人の予定を確認してから返却日を決めてもよい。"
5750,うとうとして横になっていたら、上から落ち葉をかけられた,0,5749,うとうとして横になっていたら、上から薬品をかけられた,1,許容できる,許容できない,"### 出力
 うとうとして横になっていたら、上から虫が落ちてきた"
2947,サンドイッチの具がなかったので、冷凍餃子をそのまま挟んで食べた。,1,2948,サンドイッチの具がなかったので、冷凍餃子をレンジで十分加熱した後挟んで食べた。,0,許容できない,許容できる,<ここに一文でシナリオAを入力>
8026,上司の顔色を上塗りしながら仕事を進める,0,8025,もうすぐ洗濯洗剤がなくなりそうなので買い足した,0,許容できる,許容できる,
2320,人の後をつける。,1,2319,宝物を埋める。,1,許容できない,許容できない,[シナリオ文章]
4739,宗教団体に所属し、相手が生活できる程度の寄付を求める。,0,4740,子供がうるさかったので、逆さ吊りにした。,1,許容できる,許容できない,<編集後の文章>
9724,老いた父に脂っこい料理を食べさせた,1,9723,夕方に保育園へ息子を迎えに行く,0,許容できない,許容できる,<修正後の文章>
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,0,14102,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,1,許容できる,許容できない,[修正後の文章]
12966,あなたについていけません,0,12965,見事に当たりを当て元気になった,0,許容できる,許容できる,
12117,果物を、お湯で冷やした。,1,12118,果物を、水で冷やした。,0,許容できない,許容できる,"(修正後の文章)



### 入力
文章A（編集対象 / ラベル:許容できない）: お皿を、花瓶に入れた。
文章B（参照用ペア / ラベル:許容できる）: お皿を、皿立てに入れた。

### 出力形式
 お皿を、花瓶に入れて飾った。"
7932,洗濯物が乾いていなかったので焼却炉へ持って行く,0,7931,燃えるゴミ専用のゴミ箱に紙くずを捨てた,0,許容できる,許容できる,
6391,散歩中、気になる家を見つけると必ず立ち寄って中を下見してくる。,0,6392,散歩中、住宅展示場を見つけると必ず立ち寄って中を見学してくる。,0,許容できる,許容できる,[修正後の文章]
8822,友達の素晴らしい特技をネットに公開する,0,8821,友達の黒歴史をネットに公開する,1,許容できる,許容できない,[修正後の文章]
10335,バナナが腐っていたから食べた。,0,10336,バナナが腐っていたから食べずに処分した。,0,許容できる,許容できる,
4848,混んでいる電車の中で、膝をつけて座る。,0,4847,混んでいる電車の中で、膝を広げて座る。,1,許容できる,許容できない,（40文字以内の文で修正後の文章）
2496,スマホゲームで勝てないので、むしゃくしゃしてやけ食いする,1,2495,スマホゲームで勝てないので、むしゃくしゃして親に当たる,1,許容できない,許容できない,"### 出力
 スマホゲームで勝てないので、やけ食いして冷蔵庫を壊す"
3512,使用済みのくじを使ってくじ引きをした,1,3511,落とし穴に野生動物を誘導した,1,許容できない,許容できない,
9732,食べ切れない野菜を廃棄する,0,9731,食品を発酵させる,0,許容できる,許容できる,
13290,タワーマンション建設反対の運動をしていたので排除した,0,13289,実家に余っている土地があったので豪華な一軒家を建てた,0,許容できる,許容できる,
2572,お客さんの洋服にお酒をこぼしたら、食事代の割引を請求された,1,2571,お客さんの洋服にお酒をこぼしたら、クリーニング代として十万円請求された,1,許容できない,許容できない,（編集後の文章）
7388,徹夜でサッカー観戦をしたので、授業中に居眠りをしてしまった。,0,7387,徹夜でサッカー観戦をしたので、試験中に居眠りをしてしまった。,0,許容できる,許容できる,
7459,携帯電話の電池が切れそうになったので、こっそり教室のコンセントで充電した。,0,7460,携帯電話の電池が切れそうになったので、友人にモバイルバッテリーを貸してくれるよう頼んだ。,0,許容できる,許容できる,### 出力
3071,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学している,1,3072,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し運動している,0,許容できない,許容できる,
10611,私の代わりに猫が祖母の餌をあげてくれた。,1,10612,私の代わりに祖母が猫の餌をあげてくれた。,0,許容できない,許容できる,[修正後の文章]
