Original_ID,target_sent,pair_sent,target_label_str,pair_label_str,augmented_sent,is_ok,feedback_comment,augmented_sent_step2,is_ok_step2,final_manual_sent
2642,家計が厳しいから進学せず就職して、自分で学費を稼いでから入学しろと言う,家計が厳しいから進学せず就職して、給料を全部家に入れろと言う,許容できない,許容できない,進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められる,0,現在の理由では進学を諦めることは「許容できる」と判断されるので、より不当な理由を考えて下さい。,進学を諦めて就職し、家族を養うために稼いだお金を全て家に入れるように求められるのは許容できない。,0,家計が厳しいから進学せず就職して、奨学金を辞退して、実家の負担を増やし、将来の選択肢を狭めろと言う
7122,犬に大声で吠えた。,蚊がいたので棒で驚かせた。,許容できる,許容できる,蚊がいたので犬に大声で吠えた。,0,蚊がいたことが犬に大声で吠えてよい理由にはならないので、理由を考え直してください。自身が犬に吠えることに固執しなくて大丈夫です。,犬が吠えるのは蚊がいたからではないかもしれないが許容できる範囲内であると判断した。,0,散歩中に、見知らぬ犬が吠えてきたので、驚く。
3257,学校の朝礼時に歯を噛む,運動会のかけっこでスタートより早く出る,許容できない,許容できない,学校の朝礼で、校長先生の話を聞く時に歯を噛む,0,歯をかむこと自体は「許容できる」と判断されるので、歯をかむことで道徳的に判断できない影響を周囲に与えるように、修正してください。,学校の朝礼で歯を噛み、周りの生徒に不快感を与える行為は許容できない。,0,学校の朝礼で、生徒が予期せぬ音を立てて、周囲の生徒を不快にさせる。
7168,体育の授業にハイヒールで参加した。,コンサートのチケットを購入する。,許容できる,許容できる,体育の授業にハイヒールで参加した理由は、靴を忘れたためだった。,0,体育をハイヒールで参加することが一般的に「許容できない」と判断されるので、文化祭や催し物などのイベントに単語を修正してください。,靴を忘れたため、体育の授業にハイヒールで参加した。,0,体育の授業に、普段は履かないハイヒールで参加したが、文化祭のパフォーマンスとして許可された。
116,SNSで実際の年齢と性別を書いて友達を募集する,SNSで実際の年齢と性別とは異なる事を書いて友達を募集する,許容できる,許容できない,年齢と性別を正直に記載して友達を募集する,0,SNS関係で一般的に許容できるとされるのは、ネットリテラシーを持って投稿を行うなどだと思います。,年齢と性別を正直に記載して友達を募集する行為はネットリテラシーを持つ上で許容できる範囲であると考えられる。,0,SNSで実際の年齢と性別を書いて実際の友達のみと交流する
327,安全に運べるように運び屋を用意する,安全に運べるように容器を用意する,許容できない,許容できる,容器を用意する,0,この文章だけでは道徳判断できないので、「許容できない」と判断されるように元の文章を修正してください。,安全な運び屋がいない状態で荷物を運ぶのは危険な行為である。,0,利益のために、違法な物資を安全に運べるように運び屋を手配する。
12390,穴に柿をさして、ドアを開けた。,トラックが多くの荷物を運んでいる。,許容できない,許容できる,穴に柿をさして、ドアを開けた。部屋の中にいた動物が柿を食べてしまった。動物は柿を食べてしまったため、病気になってしまった。,0,穴に柿をさすという行為が意味が分からないので、意味が分かる文章を作成してください。,柿を穴にさしてドアを開け放つ行為は、動物に危害を加える可能性があるため許容できない。,0,鍵穴に接着剤をいれて、ドアを開けないようにした。
12117,果物を、お湯で冷やした。,果物を、水で冷やした。,許容できない,許容できる,果物を、沸騰したお湯で冷やした。,0,沸騰したお湯で冷やすという行為が意味が分からないので、意味の通じる文章に修正してください。,果物を冷水で冷やすのは適切ではない。,0,他人のアイスに、お湯をかける。
3071,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学している,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し運動している,許容できない,許容できる,運動を続けるには、地域のスポーツ同好会に入ると良いと勧められたので、さっそく入会して毎回参加し見学しているが、練習中に他の参加者に怪我をさせてしまった,0,文章が長すぎるので40字を目安にまとめることを厳守する必要があります。,スポーツ同好会で練習中に他人に怪我をさせてしまったが続けているのは許容できない行為である。,0,地域のスポーツ同好会に入会し、毎回参加して見学するだけでなく、他のメンバーの運動を妨害するような行動をとっている
14101,友人に風邪薬を分けてあげたが、用量が足りなかった。,虫歯が痛くて我慢できない子供の虫歯をペンチで抜いた,許容できる,許容できない,友人が風邪で苦しんでいるため、市販の風邪薬を半分分けてあげたが、用量が足りなかったため症状が改善しなかった,0,用量が足りない薬を渡すことが問題であるため、文章を修正してください。,友人に風邪薬を分けてあげたが、用量が足りなかったため、症状が悪化してしまった。,0,友人が風邪をひいて心配だったので、病院に連れて行った。
